Project Name ,Project Location ,Region ,Applicant ,Technology Type ,Size (MW) ,Strike Price (£/MWh) ,Delivery Year ,Pot 
Strathy South Wind Farm ,NC808513 ,Scotland ,SSE GENERATION LIMITED ,Onshore Wind (>5MW) ,231,52.29,2027/28 ,Pot 1 
Clash Gour Wind Farm ,NJ080449 ,Scotland ,CLASH GOUR WINDFARM HOLDINGS LIMITED ,Onshore Wind (>5MW) ,168.75,52.29,2027/28 ,Pot 1 
Limekiln Wind Farm ,NC974628 ,Scotland ,LIMEKILN EXTENSION LIMITED ,Onshore Wind (>5MW) ,106,52.29,2027/28 ,Pot 1 
Bhlaraidh Extension Wind Farm ,NH384208 ,Scotland ,SSE GENERATION LIMITED ,Onshore Wind (>5MW) ,100.8,52.29,2027/28 ,Pot 1 
Enoch Hill Windfarm ,NS573079 ,Scotland ,RWE RENEWABLES UK ONSHORE WIND LIMITED ,Onshore Wind (>5MW) ,69,52.29,2027/28 ,Pot 1 
Blarghour Wind Farm ,NN034139 ,Scotland ,BLARGHOUR WIND FARM LIMITED ,Onshore Wind (>5MW) ,67.2,52.29,2027/28 ,Pot 1 
Greenburn Wind Park ,NS557145 ,Scotland ,REG GREENBURN LIMITED ,Onshore Wind (>5MW) ,63,52.29,2027/28 ,Pot 1 
Strathy Wood Windfarm ,NC833566 ,Scotland ,RWE RENEWABLES UK ONSHORE WIND LIMITED ,Onshore Wind (>5MW) ,62.7,52.29,2027/28 ,Pot 1 
Fell Wind Farm ,NX738838 ,Scotland ,ENERGYFARM UK FELL LLP ,Onshore Wind (>5MW) ,50,52.29,2027/28 ,Pot 1 
ENERGYFARM UK MARGREE LLP ,NX685862 ,Scotland ,ENERGYFARM UK MARGREE LLP ,Onshore Wind (>5MW) ,50,52.29,2026/27 ,Pot 1 
LAIRG II LLP ,NC606029 ,Scotland ,LAIRG II LLP ,Onshore Wind (>5MW) ,50,52.29,2026/27 ,Pot 1 
Aberarder Wind Farm ,NH648207 ,Scotland ,Aberarder Wind Farm LLP ,Onshore Wind (>5MW) ,49.99,52.29,2027/28 ,Pot 1 
Slickly Wind Farm ,ND319662 ,Scotland ,SLICKLY WIND FARM LIMITED ,Onshore Wind (>5MW) ,49.9,52.29,2027/28 ,Pot 1 
ENERGYFARM UK GARBET LLP ,NJ376349 ,Scotland ,ENERGYFARM UK GARBET LLP ,Onshore Wind (>5MW) ,46.2,52.29,2026/27 ,Pot 1 
Energyfarm UK Hare Craig LLP ,NS736312 ,Scotland ,ENERGYFARM UK HARE CRAIG LLP ,Onshore Wind (>5MW) ,46.2,52.29,2027/28 ,Pot 1 
BB2 Wind Farm ,NJ080452 ,Scotland ,BB2 WIND FARM LIMITED ,Onshore Wind (>5MW) ,43.2,52.29,2026/27 ,Pot 1 
Ben Sca Wind Farm ,NG333482 ,Scotland ,BEN SCA WIND FARM LIMITED ,Onshore Wind (>5MW) ,40.8,52.29,2027/28 ,Pot 1 
Heathland Wind Farm ,NS967573 ,Scotland ,HEATHLAND WINDFARM PARTNERSHIP LLP ,Onshore Wind (>5MW) ,40,52.29,2027/28 ,Pot 1 
Camster II Wind Farm Limited ,ND287482 ,Scotland ,CAMSTER II WIND FARM LIMITED ,Onshore Wind (>5MW) ,36,52.29,2027/28 ,Pot 1 
Foel Trawsnant Wind Farm ,SS838940 ,Wales ,PENNANT WALTERS (FOELT) LIMITED ,Onshore Wind (>5MW) ,34.8,52.29,2027/28 ,Pot 1 
Benbrack Wind Farm ,NS537003 ,Scotland ,BENBRACK WIND FARM LIMITED ,Onshore Wind (>5MW) ,31.1,52.29,2025/26 ,Pot 1 
Pearie Law II Wind Farm Ltd ,NT009588 ,Scotland ,PEARIE LAW II WIND FARM LTD ,Onshore Wind (>5MW) ,20.7,52.29,2027/28 ,Pot 1 
Lurg Hill Wind Farm ,NJ509585 ,Scotland ,VENTO LUDENS LIMITED ,Onshore Wind (>5MW) ,15,52.29,2026/27 ,Pot 1 
Watson Head Wind Farm Limited ,NS851543 ,Scotland ,WATSON HEAD WIND FARM LIMITED ,Onshore Wind (>5MW) ,8.4,52.29,2027/28 ,Pot 1 
Viking Wind Farm AR5 ,HU412576 ,Scotland ,Viking Energy Wind Farm LLP ,Remote Island Wind (RIW) ,223.6,52.29,2027/28 ,Pot 1 
Enso Green ,SE654068 ,England ,ENSO GREEN HOLDINGS I LIMITED ,Solar PV (>5MW) ,57,47,2026/27 ,Pot 1 
Holdings I Limited ,,,,,,,,
Gonerby Solar ,SK894408 ,England ,SONNEDIX GONERBY LIMITED ,Solar PV (>5MW) ,49.99,47,2027/28 ,Pot 1 
Hulam Solar Farm ,NZ440372 ,England ,LIGHTSOURCE SPV 182 LIMITED ,Solar PV (>5MW) ,49.99,47,2027/28 ,Pot 1 
Soay Solar Farm ,SE768462 ,England ,SOAY LIMITED ,Solar PV (>5MW) ,49.99,47,2026/27 ,Pot 1 
King's Lynn ,TF855138 ,England ,Jafa Solar Farm Limited ,Solar PV (>5MW) ,49.9,47,2027/28 ,Pot 1 
Sandon Brook ,TQ751992 ,England ,Sandon Brook Solar Farm Limited ,Solar PV (>5MW) ,49.9,47,2027/28 ,Pot 1 
Ashorne ,SP323594 ,England ,JBM SOLAR PROJECTS 24 LIMITED ,Solar PV (>5MW) ,49.9,47,2027/28 ,Pot 1 
Stoneshollow ,SK422063 ,England ,JBM SOLAR PROJECTS 26 LIMITED ,Solar PV (>5MW) ,49.9,47,2027/28 ,Pot 1 
Grim12 Grimsby ,TA208085 ,England ,AURA POWER SOLAR UK 5 LTD ,Solar PV (>5MW) ,49.9,47,2025/26 ,Pot 1 
Kemb04 Kemble ,ST978957 ,England ,FURUD SOLAR LTD ,Solar PV (>5MW) ,49.9,47,2025/26 ,Pot 1 
Berryhill Solar Farm ,NO302338 ,Scotland ,BERRYHILL SOLAR FARM LIMITED ,Solar PV (>5MW) ,49.9,47,2027/28 ,Pot 1 
Cotmoor ,SK675521 ,England ,JBM SOLAR PROJECTS 6 LTD ,Solar PV (>5MW) ,49.9,47,2027/28 ,Pot 1 
Cowley Baldon Green Limited ,SP554007 ,England ,COWLEY BALDON GREEN LIMITED ,Solar PV (>5MW) ,49.2,47,2025/26 ,Pot 1 
Moreton Lane Solar Farm ,SO768091 ,England ,JBM SOLAR PROJECTS 7 LTD ,Solar PV (>5MW) ,49,47,2027/28 ,Pot 1 
Peradon Solar Farm ,ST053013 ,England ,PERADON SOLAR FARM LIMITED ,Solar PV (>5MW) ,49,47,2027/28 ,Pot 1 
BOCKINGFOLD ,TQ706439 ,England ,BOCKINGFOLD SOLAR LIMITED ,Solar PV (>5MW) ,49,47,2025/26 ,Pot 1 
Black Flatts Solar Farm ,SK070193 ,England ,OPDENERGY UK 4 LIMITED ,Solar PV (>5MW) ,48.29,47,2027/28 ,Pot 1 
WOODINGTON ,SU310210 ,England ,WOODINGTON SOLAR LIMITED ,Solar PV (>5MW) ,48,47,2027/28 ,Pot 1 
SOLAR LIMITED ,,,,,,,,
Minety ,SU002890 ,England ,JBM SOLAR PROJECTS 14 LTD ,Solar PV (>5MW) ,47.5,47,2027/28 ,Pot 1 
Low Horton ,NZ285799 ,England ,BF33C LHF SOLAR LIMITED ,Solar PV (>5MW) ,42.1,47,2027/28 ,Pot 1 
Burnt House Farm ,NZ241830 ,England ,BF33E BHF SOLAR LIMITED ,Solar PV (>5MW) ,42.1,47,2027/28 ,Pot 1 
Brick House Farm ,SO570703 ,England ,BF16D BHF SOLAR LIMITED ,Solar PV (>5MW) ,42,47,2027/28 ,Pot 1 
Harbury ,SP389558 ,England ,Feldon Vale Solar Farm Limited ,Solar PV (>5MW) ,40,47,2027/28 ,Pot 1 
Enso Green Holdings A Limited ,SK777881 ,England ,ENSO GREEN HOLDINGS A LIMITED ,Solar PV (>5MW) ,40,47,2027/28 ,Pot 1 
Enso Green Holdings H Limited ,ST306323 ,England ,ENSO GREEN HOLDINGS H LIMITED ,Solar PV (>5MW) ,40,47,2027/28 ,Pot 1 
Burt20 Burtree Lane ,NZ275191 ,England ,AURA POWER SOLAR UK 4 LTD ,Solar PV (>5MW) ,40,47,2025/26 ,Pot 1 
Barnsdale Solar Park ,SE420290 ,England ,BANKS RENEWABLES (BARNSDALE SOLAR PARK) ,Solar PV (>5MW) ,40,47,2025/26 ,Pot 1 
,,,LIMITED ,,,,,
Wood End Solar PV ,SP803305 ,England ,EEB32 LIMITED ,Solar PV (>5MW) ,40,47,2027/28 ,Pot 1 
PERRINPIT ROAD SOLAR LIMITED ,ST652830 ,England ,PERRINPIT ROAD SOLAR LIMITED ,Solar PV (>5MW) ,38.63,47,2027/28 ,Pot 1 
Langford ,ST034034 ,England ,JBM SOLAR PROJECTS 2 LTD ,Solar PV (>5MW) ,35.71,47,2027/28 ,Pot 1 
Anglesey ,SH337770 ,Wales ,PARC SOLAR TRAFFWLL LIMITED ,Solar PV (>5MW) ,35,47,2027/28 ,Pot 1 
Hinckley ,SP412919 ,England ,LOW CARBON SOLAR PARK 8 LIMITED ,Solar PV (>5MW) ,35,47,2027/28 ,Pot 1 
Winkburn Solar Farm ,SK692588 ,England ,SONNEDIX WINKBURN LIMITED ,Solar PV (>5MW) ,32.65,47,2027/28 ,Pot 1 
Gammaton Solar Farm ,SS498251 ,England ,SONNEDIX GAMMATON LIMITED ,Solar PV (>5MW) ,28.57,47,2027/28 ,Pot 1 
NextPower SPV 9 Ltd ,SK551203 ,England ,NEXTPOWER SPV 9 LIMITED ,Solar PV (>5MW) ,27,47,2027/28 ,Pot 1 
Atherstone Hill Solar PV ,SP187504 ,England ,EEB54 LIMITED ,Solar PV (>5MW) ,26,47,2027/28 ,Pot 1 
Birch ,TL928215 ,England ,LOW CARBON SOLAR PARK 22 LIMITED ,Solar PV (>5MW) ,25,47,2027/28 ,Pot 1 
Church Farm Solar PV ,SJ577123 ,England ,EEB66 LIMITED ,Solar PV (>5MW) ,25,47,2025/26 ,Pot 1 
Moorside Solar Farm ,SD498631 ,England ,OPDENERGY UK 6 LIMITED ,Solar PV (>5MW) ,24.15,47,2026/27 ,Pot 1 
EASTGATE ,TA502484 ,England ,EASTGATE SOLAR LTD ,Solar PV (>5MW) ,23,47,2027/28 ,Pot 1 
Land at Dawley Road ('New Works') ,SJ662096 ,England ,GREENTECH INVEST UK (1) LIMITED ,Solar PV (>5MW) ,21,47,2025/26 ,Pot 1 
Shaftesbury ,ST829261 ,England ,Fern Brook Solar Farm Limited ,Solar PV (>5MW) ,20,47,2027/28 ,Pot 1 
Clacton ,TM191203 ,England ,LOW CARBON SOLAR FARM 12 LIMITED ,Solar PV (>5MW) ,20,47,2027/28 ,Pot 1 
Lawns Solar Farm ,SD361312 ,England ,SONNEDIX LAWNS LIMITED ,Solar PV (>5MW) ,20,47,2027/28 ,Pot 1 
Galton Manor Solar Farm ,SY785861 ,England ,SPRING DEV 05 LIMITED ,Solar PV (>5MW) ,20,47,2027/28 ,Pot 1 
Purton solar farm ,SU082890 ,England ,SPRING DEV 08 LIMITED ,Solar PV (>5MW) ,20,47,2027/28 ,Pot 1 
Preston Farm Solar Park ,SU589426 ,England ,PRESTON FARM SOLAR PARK LIMITED ,Solar PV (>5MW) ,20,47,2025/26 ,Pot 1 
Melksham Calne Green ,ST869654 ,England ,MELKSHAM CALNE GREEN LIMITED ,Solar PV (>5MW) ,19.6,47,2026/27 ,Pot 1 
Primrose ,TM174289 ,England ,Primrose Solar Farm Limited ,Solar PV (>5MW) ,17.6,47,2027/28 ,Pot 1 
Land at Guston ,TR334448 ,England ,GREENTECH INVEST UK (2) LIMITED ,Solar PV (>5MW) ,17,47,2025/26 ,Pot 1 
Court Farm ,,,,,,,,
('Chalkpit') ,,,,,,,,
Locquiers Solar Farm ,SO656174 ,England ,OPDENERGY UK 3 LIMITED ,Solar PV (>5MW) ,15.36,47,2025/26 ,Pot 1 
RAINSBROOK ,SP546723 ,England ,RAINSBROOK SOLAR LIMITED ,Solar PV (>5MW) ,12.76,47,2027/28 ,Pot 1 
Saffron Walden ,TL579369 ,England ,LOW CARBON SOLAR PARK 4 LIMITED ,Solar PV (>5MW) ,12,47,2027/28 ,Pot 1 
Aller Langport Solar Park ,ST386293 ,England ,ALLER LANGPORT SOLAR PARK LIMITED ,Solar PV (>5MW) ,10,47,2025/26 ,Pot 1 
Rampisham Woods ,ST551013 ,England ,RAMPISHAM WOODS SOLAR PARK LIMITED ,Solar PV (>5MW) ,7.6,47,2025/26 ,Pot 1 
Solar ,,,,,,,,
Bracon Ash Solar Farm ,TG178010 ,England ,Bracon Ash Solar Ltd ,Solar PV (>5MW) ,6.69,47,2027/28 ,Pot 1 
Manhay Geothermal Power Plant ,SW687300 ,England ,GEOTHERMAL ENGINEERING LIMITED ,Geothermal ,5,119,2026/27 ,Pot 2 
Penhallow ,SW765509 ,England ,GEOTHERMAL ENGINEERING LIMITED ,Geothermal ,5,119,2027/28 ,Pot 2 
Geothermal Power Plant ,,,,,,,,
United Downs ,SW743414 ,England ,UNITED DOWNS GEOTHERMAL LIMITED ,Geothermal ,2,119,2026/27 ,Pot 2 
Geothermal Power Plant ,,,,,,,,
MeyGen AR51 ,ND346749 ,Scotland ,MeyGen PLC ,Tidal Stream ,11.8,198,2027/28 ,Pot 2 
Ynni'r Lleuad ,SH219818 ,Wales ,HYDROWING TIDAL PROJECTS LIMITED ,Tidal Stream ,10,198,2027/28 ,Pot 2 
MeyGen AR52 ,ND346749 ,Scotland ,MeyGen PLC ,Tidal Stream ,5.6,198,2027/28 ,Pot 2 
Morlais Verdant Isles BL3 ,SH219818 ,Wales ,Verdant Isles Ltd ,Tidal Stream ,4.9,198,2027/28 ,Pot 2 
Orbital Marine Eday 4 ,HY542313 ,Scotland ,ORBITAL PROJECTS 9 LIMITED ,Tidal Stream ,4.8,198,2027/28 ,Pot 2 
Morlais Mor Energy Zone GO3 ,SH219818 ,Wales ,MOR ENERGY LIMITED ,Tidal Stream ,4.5,198,2026/27 ,Pot 2 
Morlais Magallanes GR3 Extension ,SH219818 ,Wales ,MAGALLANES TIDAL ENERGY LTD ,Tidal Stream ,3,198,2027/28 ,Pot 2 
MeyGen AR53 ,ND346749 ,Scotland ,MeyGen PLC ,Tidal Stream ,2.94,198,2027/28 ,Pot 2 
Orbital Marine Eday 3 ,HY542313 ,Scotland ,ORBITAL PROJECTS 8 LIMITED ,Tidal Stream ,2.4,198,2027/28 ,Pot 2 
MeyGen AR54 ,ND346749 ,Scotland ,MeyGen PLC ,Tidal Stream ,1.6,198,2027/28 ,Pot 2 
EMEC Magallanes Berth 1 ,HY542313 ,Scotland ,MAGALLANES TIDAL ENERGY LTD ,Tidal Stream ,1.5,198,2027/28 ,Pot 2 